Decimal,Hex,Mode,Alpha Tag,Description,Tag,Category,Priority
1032,408,D,BART,Bay Area Rapid Transit,Interop,BART,1
1066,42a,D,BART 3,BART 3 - Interop with OFD,Interop,BART,1
